"ident","type","name","latitude_deg","longitude_deg","iso_country"
"CYZF","medium_airport","Yellowknife International","62.462799","-114.440002","CA"
"CYZH","medium_airport","Slave Lake","55.292945","-114.777276","CA"
"CYZP","medium_airport","Sandspit","53.25429916","-131.8139954","CA"
"CYZR","medium_airport","Chris Hadfield","42.999401","-82.308899","CA"
"CYZS","medium_airport","Coral Harbour","64.19329834","-83.35939789","CA"
"CYZT","medium_airport","Port Hardy","50.68059921","-127.3669968","CA"
"CYZU","medium_airport","Whitecourt","54.143902","-115.787003","CA"
"CYZV","medium_airport","Sept-Îles","50.22330093","-66.26560211","CA"
"CYZW","medium_airport","Teslin","60.17279816","-132.7429962","CA"
"CYZX","medium_airport","CFB Greenwood","44.9844017","-64.91690063","CA"
"CYZY","medium_airport","Mackenzie","55.297786","-123.133907","CA"
"CZAM","medium_airport","Shuswap Regional","50.682802","-119.228996","CA"
"CZBB","medium_airport","Boundary Bay","49.074338","-123.006877","CA"
"CZBF","medium_airport","Bathurst","47.6297","-65.738899","CA"
"CZBM","medium_airport","Bromont (Roland Désourdy)","45.290798","-72.741402","CA"
"CZEE","medium_airport","Kelsey","56.03749847","-96.50969696","CA"
"CZFA","medium_airport","Faro","62.20750046","-133.3760071","CA"
"CZGF","medium_airport","Grand Forks","49.015598","-118.431","CA"
"CZJG","medium_airport","Jenpeg","54.51890182","-98.0460968","CA"
"CZJN","medium_airport","Swan River","52.120602","-101.236","CA"
"CZLQ","medium_airport","Thicket Portage","55.31890106","-97.70780182","CA"
"CZMN","medium_airport","Pikwitonei","55.58890152","-97.16419983","CA"
"CZMT","medium_airport","Masset","54.0275","-132.125","CA"
"CZPC","medium_airport","Pincher Creek","49.520429","-113.997002","CA"
"CZSJ","medium_airport","Sandy Lake","53.06420135","-93.3443985","CA"
"CZST","medium_airport","Stewart","55.93541045","-129.9824345","CA"
"CZUC","medium_airport","Ignace Municipal","49.428204","-91.720418","CA"
"DAAB","medium_airport","Blida","36.503601","2.81417","DZ"
"DAAD","medium_airport","Bou Saada","35.3325","4.20639","DZ"
"DAAE","large_airport","Soummam–Abane Ramdane","36.712547","5.069909","DZ"
"DAAG","large_airport","Houari Boumediene","36.693886","3.214531","DZ"
"DAAJ","large_airport","Tiska Djanet","24.285448","9.463652","DZ"
"DAAK","medium_airport","Boufarik Air Base","36.545799","2.87611","DZ"
"DAAP","medium_airport","Illizi Takhamalt","26.723499","8.62265","DZ"
"DAAS","medium_airport","Ain Arnat","36.178488","5.329909","DZ"
"DAAT","large_airport","Aguenar – Hadj Bey Akhamok","22.810992","5.450832","DZ"
"DAAV","large_airport","Jijel Ferhat Abbas","36.794125","5.873652","DZ"
"DAAY","medium_airport","Mecheria","33.53590012","-0.242353007","DZ"
"DAAZ","medium_airport","Relizane","35.752955","0.625877","DZ"
"DABB","large_airport","Annaba Rabah Bitat","36.826781","7.81334","DZ"
"DABC","large_airport","Mohamed Boudiaf International","36.276001","6.62039","DZ"
"DABS","medium_airport","Cheikh Larbi Tébessi","35.43159866","8.12071991","DZ"
"DABT","large_airport","Batna Mostefa Ben Boulaid","35.752102","6.30859","DZ"
"DAFH","medium_airport","Hassi R'Mel","32.930401","3.31154","DZ"
"DAOB","medium_airport","Abdelhafid Boussouf Bou Chekif","35.341099","1.46315","DZ"
"DAOF","medium_airport","Tindouf","27.7003994","-8.167099953","DZ"
"DAOI","large_airport","Chlef Aboubakr Belkaid International","36.216614","1.341114","DZ"
"DAOL","medium_airport","Oran Tafraoui","35.5424","-0.532278","DZ"
"DAON","large_airport","Zenata – Messali El Hadj","35.012732","-1.457117","DZ"
"DAOO","large_airport","Oran Es-Sénia (Ahmed Ben Bella) International","35.620648","-0.622486","DZ"
"DAOR","medium_airport","Béchar Boudghene Ben Ali Lotfi","31.64570045","-2.269860029","DZ"
"DAOV","medium_airport","Ghriss","35.207699","0.147142","DZ"
"DATM","medium_airport","Bordj Badji Mokhtar","21.3778","0.92698","DZ"
"DAUA","medium_airport","Touat-Cheikh Sidi Mohamed Belkebir","27.837601","-0.186414","DZ"
"DAUB","large_airport","Biskra - Mohamed Khider","34.79318","5.738899","DZ"
"DAUE","medium_airport","El Golea","30.580732","2.861595","DZ"
"DAUG","medium_airport","Noumérat - Moufdi Zakaria","32.384102","3.79411","DZ"
"DAUH","medium_airport","Hassi Messaoud-Oued Irara Krim Belkacem","31.673","6.14044","DZ"
"DAUI","medium_airport","In Salah","27.250999","2.51202","DZ"
"DAUK","medium_airport","Touggourt Sidi Madhi","33.067799","6.08867","DZ"
"DAUL","medium_airport","Laghouat - Molay Ahmed Medeghri","33.7644","2.92834","DZ"
"DAUO","medium_airport","Guemar - مطار قمار بالوادي","33.511398","6.77679","DZ"
"DAUT","medium_airport","Timimoun","29.237101","0.276033","DZ"
"DAUU","medium_airport","Ain Beida","31.9172","5.41278","DZ"
"DAUZ","medium_airport","Zarzaitine - In Aménas","28.0515","9.64291","DZ"
"DBBB","large_airport","Cotonou Cadjehoun International","6.35723","2.38435","BJ"
"DFFD","large_airport","Ouagadougou Thomas Sankara International","12.3532","-1.51242","BF"
"DFOO","large_airport","Bobo Dioulasso","11.1601","-4.33097","BF"
"DGAA","large_airport","Kotoka International","5.6051898","-0.166786","GH"
"DGAH","medium_airport","Ho","6.579691","0.532547","GH"
"DGLE","large_airport","Yakubu Tali International","9.553909","-0.86606","GH"
"DGSI","large_airport","Prempeh I International","6.71456","-1.59082","GH"
"DGSN","medium_airport","Sunyani","7.36183","-2.32876","GH"
"DGTK","medium_airport","Takoradi","4.89605999","-1.774760008","GH"
"DIAP","large_airport","Félix-Houphouët-Boigny International","5.26139","-3.92629","CI"
"DIBK","medium_airport","Bouaké","7.7388","-5.07367","CI"
"DIDL","medium_airport","Daloa","6.79281","-6.47319","CI"
"DIKO","medium_airport","Korhogo","9.38718","-5.55666","CI"
"DIMN","medium_airport","Man","7.27207","-7.58736","CI"
"DISP","medium_airport","San Pedro","4.74672","-6.66082","CI"
"DIYO","large_airport","Yamoussoukro International","6.90317","-5.36558","CI"
"DNAA","large_airport","Nnamdi Azikiwe International","9.00679","7.26317","NG"
"DNAI","medium_airport","Akwa Ibom International","4.8725","8.093","NG"
"DNAK","medium_airport","Akure","7.246739864","5.301010132","NG"
"DNAS","large_airport","Asaba International","6.204167","6.665278","NG"
"DNBC","large_airport","Sir Abubakar Tafawa Balewa Bauchi State International","10.482833","9.744","NG"
"DNBE","medium_airport","Benin","6.316979885","5.599500179","NG"
"DNBY","medium_airport","Bayelsa International","4.95759","6.203327","NG"
"DNCA","medium_airport","Margaret Ekpo International","4.976019859","8.347200394","NG"
"DNEN","large_airport","Akanu Ibiam International","6.473718","7.560463","NG"
"DNGO","medium_airport","Gombe Lawanti International","10.298889","10.9","NG"
"DNGU","medium_airport","Gusau","12.17286","6.696136","NG"
"DNIB","medium_airport","Ibadan","7.362460136","3.978329897","NG"
"DNIL","large_airport","General Tunde Idiagbon International","8.44021","4.49392","NG"
"DNIM","medium_airport","Sam Mbakwe International Cargo","5.42706","7.20603","NG"
"DNJO","medium_airport","Yakubu Gowon","9.639829636","8.869050026","NG"
"DNKA","large_airport","Kaduna International","10.696","7.32011","NG"
